ID,ra,dec,Tmag
229591315,271.96194,77.56633,8.62055
229587435,271.85452,77.59314,6.49283
229591601,272.5511,77.446846,9.6927
229595581,273.5071,77.57781,9.49843
229605513,273.84964,77.63425,9.7078
441714582,253.67712,76.2069,9.7838
1201358559,245.31882,74.56359,9.4953
334678316,245.31882,74.56359,9.4953
233008207,247.59016,74.258286,8.688
237201157,293.0786,74.03176,8.7227
237200740,292.7476,74.90812,9.28271
237203236,293.46564,74.09993,9.1484
420130647,290.97418,75.44478,9.858
235683358,287.53287,74.24252,9.7138
420130844,290.90466,75.01489,7.56906
420136585,291.73013,75.03431,9.59908
267543197,289.51172,74.30385,8.28176
362259863,286.74496,74.06573,9.6494
235683081,287.26035,74.96074,9.8941
362259855,286.4471,74.090515,8.76847
420111755,289.99942,75.00765,9.0219
362225670,285.90546,74.216225,9.89168
362259837,286.7364,74.12585,8.82367
362225652,285.72284,74.24545,8.8541
235685793,288.31525,74.14449,8.4515
229590453,272.07877,74.845505,7.7973
229592265,272.52307,75.26483,9.8698
229592273,272.55594,75.23748,8.442
229592446,272.3988,74.71069,9.4135
229588368,271.57806,74.65645,9.4392
229594746,272.9447,75.451744,9.47359
229590351,272.1641,74.60981,9.2798
229596329,273.12732,75.176704,8.48624
229586495,271.36945,75.27688,9.043
367682106,246.98282,74.313644,9.69677
229586343,271.25882,74.789955,9.47672
441720006,254.96667,75.87304,9.8786
233495734,248.89183,74.16426,8.94613
233006527,247.58534,74.258514,9.3744
233498568,249.6427,74.28978,8.6615
326209538,245.71056,74.09207,8.4597
326209541,245.89874,74.09924,9.5345
367682119,246.8845,74.368805,8.6577
233008090,247.64345,74.6947,9.3416
233008232,247.93678,74.11509,8.649
367682011,247.08923,74.01561,8.8143
233499596,250.1549,73.38418,8.859
233501543,250.48817,73.88738,6.593
376924690,284.86368,73.86205,9.5223
235680293,287.04306,73.63524,8.43229
420108439,285.09494,73.80085,9.4551
362256448,286.27612,73.68869,9.839
235685913,288.09418,73.89235,5.1087
362225779,285.99365,73.98348,9.5664
376879798,283.95898,73.86696,9.5386
229644709,280.00955,72.11215,8.95754
376882962,284.29788,73.78917,9.67907
229585587,271.15668,72.697586,9.0143
229589594,272.0402,72.59497,9.796
229589123,271.82986,72.53291,8.6691
229589015,271.57532,72.8212,9.68528
229588935,271.8277,73.011955,9.5832
229589141,271.84302,72.48114,9.8929
233501640,250.45401,73.4995,7.4553
229584815,271.1156,73.272736,8.84809
233501595,250.64532,73.655945,9.6717
160586143,243.7845,72.18255,7.8169
233498750,249.7583,73.57193,9.9807
233502535,250.78075,73.697975,8.96733
233498747,249.57465,73.57561,9.0492
233009358,248.23625,73.83809,9.803
229669754,251.7031,73.35014,9.0232
233009322,248.09715,73.68464,9.7079
233499735,250.02463,73.95309,9.6491
233495865,248.92729,73.67339,9.8507
160551471,242.09032,72.102135,9.03514
160551500,242.08066,72.00069,9.79367
233008318,247.6032,73.778946,9.9543
233498644,249.80367,73.97823,9.625
229669811,251.71477,73.6827,8.6856
280072704,298.19617,70.14474,9.58328
280072356,298.3552,70.761116,9.83429
280033512,297.6027,71.01996,9.9533
280033918,297.6168,70.305275,9.45844
280164659,298.49225,70.2322,9.76932
280032518,297.28342,70.94012,9.4014
1884384242,297.04398,70.26877,6.644
280071089,297.984,70.48722,9.71287
280164635,298.59622,70.200775,9.4848
280164639,298.51364,70.20548,8.8166
280070930,298.16663,70.20412,9.9794
280033832,297.86102,70.43852,8.7313
264392340,296.1021,70.55955,9.8556
264298576,295.96704,71.084015,9.7928
264392616,296.20102,71.02028,9.0648
