ID,ra,dec,Tmag
51903919,47.114906,88.327965,9.1252
51907038,49.384132,88.675964,8.0441
402877251,24.587185,88.98048,8.29422
402880983,28.44982,88.551674,6.8099
289994116,32.945026,88.679825,9.3176
461652914,23.461212,89.01564,6.40023
461619866,9.931395,89.444305,7.2968
461652875,22.838526,88.65726,8.063
289994152,32.54957,89.07299,9.38862
428794640,69.24854,89.52591,9.9166
51862809,44.04491,88.364876,9.8338
397288913,34.082592,89.18516,9.8664
289994171,31.478285,89.39239,9.8377
303256075,37.967197,89.26405,1.369
51922831,51.46049,88.41729,8.8659
397119508,38.32942,88.17383,9.2817
397121708,38.636055,88.47102,7.9257
150296416,113.56367,88.19374,8.89048
420731731,65.30931,88.74055,9.7152
150314941,114.75652,88.4638,9.46993
303257519,40.94361,88.63368,8.1004
397133030,42.2464,88.66096,8.3333
298412038,149.55121,88.16481,9.95224
160115883,230.79747,88.14678,9.2543
358018483,125.005745,88.61549,8.8144
429032021,323.714,89.22295,9.6606
372368738,75.97033,89.4207,8.2983
387088969,121.908554,88.76599,8.1713
397144107,59.093285,88.49477,7.5797
428794641,69.24116,89.52698,8.357
372370148,77.478775,88.99706,9.8779
461640076,21.122711,88.26265,8.62706
387069133,118.30424,88.45487,9.5111
397139911,55.016853,89.16596,9.4063
629958357,37.65032,89.26089,8.35637
387088958,122.12692,88.69204,9.3654
160119921,233.17256,88.958206,9.73257
258641352,136.2033,88.322426,9.40561
397154233,61.5704,88.33764,7.8818
397155538,61.773674,88.92266,8.57874
160113879,228.35283,88.03071,7.4126
160145275,236.82309,88.02526,9.57054
160163824,242.39493,88.51174,8.83674
397152928,60.479786,88.74957,8.33494
397139817,54.91395,88.193695,8.704
397141336,57.014603,88.78043,7.5326
397152951,59.914318,89.01375,9.3002
397139907,55.22514,89.10488,7.6924
154786420,168.94537,88.03251,9.79062
461594728,6.568812,88.03914,8.941
461591244,4.022368,88.40119,8.99278
154811504,177.99182,88.16516,8.8276
160183698,245.9189,88.44118,8.99047
154717787,157.32477,89.08189,9.29653
154717669,157.81711,88.02313,9.73053
154789409,172.56963,88.749756,8.95942
461587879,1.1169244,89.11845,9.3731
389776252,153.28781,88.273605,9.50237
125580697,320.97104,88.001816,9.8381
154810555,177.93715,88.92892,9.3217
461638507,18.561563,89.3068,9.2715
154813553,181.35667,88.63009,9.6598
470676723,292.87814,88.75393,9.959
154717685,157.92671,88.16506,9.1547
470676739,293.36832,88.85762,8.3142
470675463,292.329,88.526924,9.02686
461619882,7.905569,89.66467,9.84182
154759753,168.08568,88.92003,9.3344
470679035,295.9609,88.9245,9.9348
154742577,164.42262,88.24136,9.7998
264722796,330.8069,88.07306,7.37366
470677903,294.70203,89.06751,9.97581
154869832,189.61629,88.35536,7.0783
459857538,67.94986,88.300385,9.5995
459857596,68.09832,88.75248,9.16205
470678986,297.3563,88.30194,9.6381
154847181,187.11678,88.67565,8.9803
459859194,70.69215,89.6301,7.6604
459857588,68.07096,88.62884,8.0089
154904440,196.74231,88.09093,8.8908
154868753,188.91978,88.757256,9.3969
154942871,212.15248,88.453705,9.95601
154906619,199.29056,89.08425,9.9264
154906623,199.63013,89.161835,9.9984
459864981,79.40355,88.594696,9.72753
154904436,196.96771,88.05765,9.3865
459863448,78.50288,88.222046,8.2325
154846160,185.65729,89.14454,9.9305
