ID,ra,dec,Tmag
374268398,159.08157,1.230384,9.775
374268503,159.03801,0.68620026,8.1769
374200936,158.07336,0.38801023,9.7122
344955311,152.09895,0.609175,6.391
344957504,152.30367,1.257918,8.557
277697283,153.42987,0.522214,8.456
841818838,158.07336,0.38801023,9.7122
841819587,159.03801,0.68620026,8.1769
277833306,156.30562,1.000805,8.819
425283213,168.292,0.2388,8.636
277811540,156.01395,0.5123808,9.7274
277811452,156.06927,0.75691473,8.8045
262733086,149.27492,1.7530167,9.2542
262733274,149.20029,1.3511262,9.2954
281746741,163.16507,0.48387665,9.3919
281746865,163.21799,0.15620704,9.07824
281746715,163.19913,0.5905944,9.85139
281747292,163.27518,1.0228844,9.4363
380576522,174.33345,1.9374135,7.7448
374338009,160.64445,0.30698177,9.9579
374337838,160.55975,0.23140731,9.9896
374338222,160.59085,0.8621411,6.5804
374337706,160.47289,0.55619484,9.0938
281907813,175.40547,1.9235936,9.1232
281908638,175.53214,1.0114728,9.3078
514773484,162.20386,1.4032843,9.7148
374349739,160.73009,0.8760667,8.9749
396951217,172.87308,0.48069134,9.556
301589057,168.58392,0.8867375,6.2579
301589059,168.61487,0.8924641,8.1195
363459466,169.75262,1.2117286,9.8512
363459391,169.729,1.6503973,5.0152
363459384,169.77611,1.7018114,8.3751
363459794,169.81479,0.72333753,6.47765
425281404,168.19981,1.5364661,8.0675
425281090,168.02246,0.22134754,8.3117
425281261,168.12787,0.72257507,9.4997
374312260,160.00691,0.86993176,9.1281
396999357,174.61859,0.51746774,8.9069
301578294,167.48087,0.725444,9.8511
374312359,160.06494,0.3446675,9.6791
374312406,160.05896,0.13250299,8.2117
374312166,159.99348,1.28791,7.208
374268988,159.13475,1.9311894,9.7858
262734626,149.40767,1.6394923,8.2188
275248808,147.90091,1.650244,9.7346
363459334,169.7024,1.9495399,9.39373
363459649,169.76927,0.14681013,9.0482
425281171,168.1879,0.34801245,7.97478
277735664,153.84418,0.6578699,9.5083
380542808,173.45184,1.439132,9.7537
380543345,173.6034,1.7421741,9.8016
380542758,173.45439,1.7522385,9.2807
380543359,173.59987,1.8599696,9.70918
262733056,149.3134,1.8149137,8.4501
344999640,152.6725,1.9327449,7.9079
301538580,166.50934,1.2106657,5.1026
301539103,166.6465,1.8802763,6.3533
301538763,166.54515,0.22101143,9.6425
301539114,166.72586,1.955526,4.6537
380154237,172.24438,1.0938555,9.4847
344999162,152.52061,0.22331522,8.2905
374171283,157.7202,0.45649308,9.3769
301538662,166.57278,0.77429503,9.67
301538802,166.71129,0.124409415,9.8263
380154279,172.23251,0.7794039,9.3434
380154299,172.2997,0.6678502,9.6569
281887192,175.18541,1.5450412,8.9047
281887316,175.20601,0.924083,9.9202
345031474,152.71722,1.0051912,8.0031
345031273,152.71277,1.7721555,9.1246
374180060,157.96094,0.7930301,9.8001
277895080,157.47559,1.5884067,9.8848
277895340,157.53154,0.34419516,9.7167
344957715,152.27408,0.38247922,8.8627
262734467,149.32816,1.2281191,7.6171
301605258,168.90244,0.57341933,7.443
277697200,153.34618,0.11886432,9.9838
455274775,146.62521,1.7038965,9.04728
374296925,159.91171,1.636723,8.3855
275248866,147.9305,1.4420615,9.3398
374367058,164.94829,1.07855,8.7066
277913951,157.6544,0.22775322,9.0954
363550570,171.7544,1.5078815,9.3517
281777857,163.49586,1.6265776,9.1928
281885667,174.99725,1.512303,9.6362
301605381,168.88457,1.2814046,9.80462
301552268,166.94681,0.29763132,9.9725
344957384,152.2571,1.7975514,9.5648
277696806,153.2038,1.9901011,9.4673
397011954,175.88226,1.9219447,9.0331
397011550,174.81746,0.9705873,8.3971
344957503,152.30353,1.2590334,9.8489
363550521,171.72643,1.288844,9.7345
301554078,167.09091,1.7961154,9.8256
301558535,167.129,1.5390239,7.9385
301554460,167.2078,0.24456786,9.3236
301554520,167.13287,0.42007244,9.068
281907937,175.45326,1.5558372,9.2188
301554297,167.00023,0.70936346,8.9923
455285205,147.51189,1.7935886,8.3339
281706152,162.20366,1.4033798,9.1668
345074144,155.23271,1.9063418,8.8051
374209934,158.39767,1.3679496,9.98849
344955457,152.17194,1.1608013,6.3246
344955312,152.10023,0.6093234,8.1037
374238953,158.75517,1.218041,9.3711
374338206,160.60126,0.8241918,9.48088
344999096,152.49219,0.5025355,9.2311
281887324,175.12682,0.86782527,9.07475
374171339,157.72678,0.80101466,9.6451
281887678,175.2489,1.3897916,9.9933
344998884,152.53094,1.4481559,9.18877
344999511,152.58835,1.3403021,9.5584
380154286,172.31468,0.729411,9.1315
380154551,172.46468,0.8105453,9.61471
301538492,166.51578,1.6820183,9.4382
344952754,151.88882,0.9182892,4.7204
396972639,173.25934,1.2859125,7.3071
277957988,164.88817,0.62562793,9.0312
277957907,164.89746,1.0853972,9.9116
363531539,171.08185,0.3215492,9.4975
363531747,171.00969,1.407764,4.56808
363531845,171.10715,1.917762,8.0418
281885341,174.89734,0.40160936,9.5484
363477850,169.9836,1.0162534,8.9558
363531835,171.04684,1.8442101,9.1819
380546716,173.93887,1.1901072,8.7002
374273060,159.50069,0.19333567,9.0027
281707868,162.31677,1.3888122,8.8556
277870839,156.73538,1.7800615,9.6722
281707907,162.29471,1.1832479,9.4248
277673195,153.12103,0.8165027,8.4946
277735895,153.8451,1.7270776,9.5089
281782366,163.80406,1.6820086,8.7977
281707772,162.35954,1.9079769,7.7606
344952106,151.75381,1.7515918,9.9778
425278779,167.74979,1.3158221,9.0303
277673241,153.12584,1.0226017,9.7076
281782020,163.67618,0.45460087,8.9232
425312442,168.55754,1.0729855,8.2433
277672905,152.94798,0.83075356,9.8584
344888867,150.91711,1.006847,7.9463
277735661,153.82225,0.6373912,9.3458
425283255,168.38594,0.12081591,9.3806
443589005,168.32413,0.1080318,8.7453
363531411,170.87819,0.46002102,8.3033
363547889,171.45415,1.8723202,8.1237
363548047,171.41263,1.0239003,7.826
380575755,174.19948,0.6946193,8.9109
275252422,148.26952,1.1416949,7.5177
277871061,156.76465,0.7913388,8.2673
277735369,153.75279,0.8192033,7.2084
363571162,171.84457,1.3738552,6.6415
363571179,171.88948,1.301494,6.5668
363571250,171.89174,0.9561529,6.2746
277888779,157.37465,0.11746633,9.6031
277735314,153.77194,1.1114838,8.8415
281883689,166.01878,1.7893194,9.2083
345036355,154.62822,1.5702591,6.6273
281794283,164.04387,0.43293515,5.4779
262734217,149.40694,0.7466361,9.3343
380576071,174.34033,0.53283465,9.68129
345036540,154.53363,0.7169061,9.3701
363457660,169.62532,0.5582006,9.0471
344888598,150.8056,0.31103575,9.7727
281850101,165.78148,1.357993,9.9061
425283373,168.35918,0.86843425,9.5436
275252410,148.32664,1.0942544,9.6516
363547876,171.38669,1.9673277,9.916
425312331,168.48131,1.6354218,9.89228
345036823,154.75275,0.5492382,9.8996
455277453,146.8195,1.576934,9.5254
173146721,172.97972,0.006833461,9.34649
277888583,157.23146,0.84100044,7.55839
281701015,161.8881,0.8809641,7.9741
281701069,161.87595,0.56678927,9.5648
345073869,155.15657,0.58022696,9.9837
281706066,162.26242,0.954071,9.8384
281908127,175.42513,0.9936153,8.76051
281908132,175.3661,0.9503839,8.87137
38133324,170.44876,0.01726949,8.4905
281817288,165.15239,0.3787576,8.8138
281885747,175.05057,1.9554408,9.8137
397013241,175.97363,1.7842234,9.7377
281885681,175.09268,1.5991094,8.32574
281817338,165.26547,0.047041878,7.20605
281885553,175.10033,0.9521624,6.70705
380545064,173.85297,1.1577709,9.9182
363545998,171.21144,1.245895,7.5555
281838408,165.34547,0.22309442,9.745
363546145,171.20306,0.37916088,8.6603
374209925,158.49641,1.3278157,8.6852
374209949,158.49648,1.4464866,8.4367
281908705,175.5181,1.2486728,8.6109
281883701,165.99977,1.8328391,8.2284
277875133,156.8173,1.5148473,7.4146
344954714,152.00407,1.9277109,8.5902
374355986,160.95135,1.063665,9.3666
344840833,150.1531,0.82955587,9.1882
374209868,158.42235,0.9793549,9.3939
374356134,160.96619,0.2893777,9.88745
363478178,170.07307,0.89907587,9.0868
281796258,164.25008,0.30797005,8.9136
374296561,159.7239,0.30180782,9.7662
277895116,157.46437,1.3569274,8.3778
455252186,146.09856,1.9679973,6.61392
363478056,170.06589,0.2741211,6.829
281796385,164.22595,1.063052,9.4782
455252157,146.13696,1.831176,9.7314
363477773,169.92664,1.4234569,9.8611
363478117,170.10742,0.5662813,9.9308
277833225,156.23865,1.3311651,7.3914
277713049,153.63731,1.6120428,9.0613
277833718,156.39543,1.0828522,7.54915
277768683,154.21509,1.7977911,6.4697
374272901,159.56665,1.0873493,9.8907
277833340,156.23811,0.81654996,9.711
277712375,153.46718,1.6093354,8.8654
277712574,153.50734,0.7431935,9.8767
277712632,153.50282,0.46890837,8.7175
455305980,147.62906,1.8275712,7.0662
301627318,173.34796,0.8033977,7.603
374201271,158.15129,1.586957,9.8465
277893281,157.35696,1.6429415,9.313
455306011,147.67485,1.6986274,9.5013
363531648,171.06755,0.92560995,9.9467
374314923,160.42351,1.2342478,9.26953
345077705,164.67418,1.6939571,9.71718
345061994,154.80328,1.5203599,7.697
374200794,158.06937,1.1253061,9.7814
344909731,151.40105,1.6901132,9.6452
455305990,147.71681,1.7916207,9.8938
363497538,170.48007,0.29115146,9.3456
301627144,173.3729,1.8254944,9.6165
301627224,173.38068,1.341805,8.7567
363445699,169.44604,0.7913044,8.021
345036944,154.7127,1.0948354,8.38245
281746725,163.14067,0.5221336,9.6761
277777365,155.66327,0.55471236,8.494
301552181,166.84125,0.22181436,9.47342
301605264,168.90448,0.6087361,9.51223
363497572,170.48778,0.05240858,8.31575
363497583,170.53676,0.12395882,8.4671
363618150,172.80391,1.0718071,9.621
397011467,174.8534,1.5453821,9.24293
455274780,146.63531,1.718936,7.2555
455274792,146.59837,1.7855905,5.3221
277697265,153.37543,0.43828532,8.38596
277696810,153.21465,1.9744768,9.16953
301552454,166.87419,1.2378432,9.35406
363618234,172.80739,1.5680898,9.88217
281705649,162.13522,1.3272598,9.1588
301552171,166.81407,0.27071968,9.96472
397011431,174.86768,1.7095978,9.7733
397011479,174.85257,1.4228795,9.9485
