ID,ra,dec,Tmag
443616599,169.07784,-3.93483,9.43984
443616609,169.1519,-3.9667828,6.6279
443617661,169.18593,-3.942917,7.9675
38141302,170.65115,-5.278361,7.6254
38141692,170.82433,-4.860772,9.5308
38141733,170.78728,-4.6998425,9.6959
38141586,170.79086,-5.3405476,9.3864
38141638,170.84027,-5.125441,8.8438
38141337,170.71423,-5.4178357,9.36654
173097138,171.9909,-5.6428657,9.41129
173097259,172.05077,-4.9217734,9.8087
38086116,169.60394,-5.896211,7.3381
173163290,173.09955,-5.6248493,6.7963
173163333,173.13599,-5.807498,7.6011
173163236,173.12854,-5.4011335,7.5835
173163387,173.20428,-5.793302,9.0681
173163432,173.27576,-5.607733,8.0328
38086090,169.44151,-5.8576503,9.1809
38086261,169.55731,-5.190294,9.7743
38085685,169.44223,-4.185952,9.63006
38138845,170.44533,-5.718501,7.17668
38138562,170.42682,-4.46605,9.7924
173096901,171.86876,-5.0485106,9.57656
49419022,173.60913,-5.752202,9.5987
49419107,173.7704,-5.714753,9.7584
49419119,173.71527,-5.64967,7.9376
49419124,173.66806,-5.59021,7.7703
286278416,170.34937,-5.9159665,9.6434
183640442,171.4768,-5.921973,9.5354
38138902,170.51857,-5.9389305,9.81944
38086286,169.59172,-5.0673018,6.5866
286278418,170.35368,-5.9231334,9.5902
173145542,172.85132,-5.973488,9.6139
38131684,170.20784,-4.7992573,8.3624
38131671,170.19258,-4.757591,9.8055
38132148,170.34268,-5.1369934,8.5912
173145389,172.83504,-5.2593083,8.65726
443608414,168.47575,-5.0759363,9.9394
173165895,173.36298,-5.7601933,9.75194
38132318,170.29529,-4.3801775,8.77334
173104166,172.34021,-5.753323,9.3647
38132321,170.318,-4.3661966,7.43385
38064016,169.40341,-5.379314,8.9604
38132095,170.319,-5.458033,9.736
443617359,169.20448,-5.1524673,8.5875
443616889,169.11823,-4.999073,9.1859
49418981,173.58897,-5.5271,6.4563
38139092,170.5927,-5.1476393,7.4955
285930023,171.09068,-5.909985,6.4424
38139147,170.6181,-4.937047,9.66189
443608054,168.35367,-5.4468102,7.4356
443614500,169.01974,-4.4997387,9.2042
443616641,169.13094,-4.0716953,9.5882
443613897,168.84654,-4.9337516,7.5726
443613784,168.92601,-4.509112,8.7212
443613819,168.92229,-4.6297307,9.7114
443614071,168.8204,-5.6185136,9.4373
443613801,168.86887,-4.5851564,8.9667
443613858,168.89268,-4.803389,9.23544
443614185,168.96048,-5.8022633,9.75945
185220695,173.78719,-5.949414,9.8751
38116129,170.02306,-5.2332563,8.5907
38116210,170.13397,-4.7821693,9.8483
38115935,169.98953,-5.661168,9.8929
38116298,170.1017,-4.4189267,9.9655
38212433,171.59879,-5.319882,8.5126
38115934,169.90974,-5.6539335,9.6288
38143659,170.9193,-4.6963644,9.4917
38205828,171.49007,-4.9241776,9.6486
443616717,169.11334,-4.378195,9.4048
38160150,171.22325,-5.133468,9.9151
38160330,171.31224,-5.8689528,8.0061
38160635,171.27403,-4.580544,7.8429
38088360,169.73605,-4.57145,9.2299
38088661,169.84003,-5.938115,8.6988
38088676,169.83022,-5.829432,9.9779
173090065,171.73111,-4.855857,9.6746
38088391,169.71422,-4.727008,9.03341
443611473,168.69226,-4.6922584,9.10319
443610892,168.58353,-5.0195684,9.9971
443611240,168.79616,-5.5919867,6.9856
443611351,168.7237,-5.183177,9.9653
443611380,168.70695,-5.0607467,8.7556
443611410,168.7095,-4.963109,8.1775
183640104,171.37523,-7.852947,8.204
144248958,178.18791,-7.5966887,4.9312
144169291,177.15527,-7.081253,9.39625
144169296,177.16423,-7.053129,8.7733
144169162,177.15988,-7.6438746,9.8721
144248150,178.15135,-7.9321327,9.38688
144167132,177.0736,-7.5168233,9.8716
286396158,171.51219,-7.31661,9.929
286395900,171.5563,-6.065559,8.6442
144105665,175.43771,-6.6845245,8.6697
286396200,171.51709,-7.516984,8.2141
144105557,175.43144,-7.2213387,8.61715
144106144,175.53813,-7.7364483,9.4421
144106130,175.60674,-7.6262426,9.2665
286396042,171.54189,-6.7482295,9.8544
185259481,175.03305,-6.108488,9.4077
144124311,175.97968,-6.677162,5.22956
185247517,174.83504,-7.416953,8.778
185247595,174.83363,-7.0435443,8.8242
185248183,174.96368,-7.5154166,9.608
902760862,169.24217,-7.1349564,9.6026
185247985,174.9179,-6.607538,8.5196
185242316,174.34268,-6.262295,9.5042
144197527,177.78893,-7.216341,8.6446
144196884,177.63974,-7.496822,8.5141
185239953,174.24522,-6.818046,8.1787
185240087,174.19434,-7.393223,9.7556
144197711,177.79558,-7.991623,5.8086
144197693,177.76443,-7.8860826,9.5086
333788312,169.01561,-7.4861536,8.4984
333788907,169.10857,-7.8001747,9.6891
144214079,177.94351,-7.585553,8.4906
333788789,169.08127,-7.1391034,8.95489
144146013,176.53835,-7.7691994,8.4447
333788742,169.10948,-6.7983127,9.89039
144137877,176.06937,-7.1338167,9.9111
144124621,176.09213,-6.5584044,8.4272
144197649,177.72183,-7.7151546,9.6875
185247941,174.90851,-6.3773794,9.2209
144196917,177.57779,-7.37593,7.22756
185239372,174.09415,-7.97977,9.929
144213337,177.85909,-7.7086864,9.9274
144213327,177.8602,-7.7328243,9.64491
