ID,ra,dec,Tmag
74178,221.17642,-23.946177,9.96561
1176555675,221.27252,-24.635069,8.5752
1176547030,220.9449,-25.271662,9.9856
1176570534,222.31544,-24.265093,8.19224
110385,222.31544,-24.265093,8.19224
74676,221.27252,-24.635069,8.5752
65132,220.9449,-25.271662,9.9856
440960978,226.01756,-25.28196,1.2135
440888138,225.07614,-25.62213,7.5229
61007461,226.56256,-25.611351,9.8557
440885984,224.91727,-25.631645,9.8126
146328,223.26381,-24.916128,9.5929
440885880,224.96236,-25.778162,8.7649
155455,223.58386,-24.642208,4.10804
155128,223.52141,-25.20955,7.9128
155237,223.55421,-25.02797,8.082
155450,223.5228,-24.65444,7.0441
155396,223.52554,-24.753866,9.694
60977484,226.5457,-25.662756,9.6166
155348,223.61519,-24.840103,9.00763
440960884,226.01108,-25.456835,9.4653
440960778,226.01181,-25.599947,9.8453
108683,222.20793,-25.986029,9.2616
440877428,224.66576,-25.528362,9.4507
61007712,226.6542,-25.95064,9.1178
440877329,224.68463,-25.709106,9.6855
440877438,224.64688,-25.516417,9.05023
440877333,224.64775,-25.705175,9.36655
440923051,225.50098,-25.341053,9.0389
440925333,225.529,-25.642313,9.9445
90592,221.65857,-25.915794,9.0143
440923253,225.4239,-25.068651,8.49116
440925130,225.60558,-25.390596,9.35827
440953551,225.8418,-25.791763,8.322
146479,223.3184,-24.709728,9.7427
440888060,224.98361,-25.498487,9.8785
440925508,225.5617,-25.856451,7.9061
440888188,225.03232,-25.692167,9.86497
128456,222.78307,-24.89808,5.861
60977396,226.44887,-25.78948,6.63544
48482144,229.11926,-25.949034,8.9429
440871025,224.48775,-25.385576,9.0281
440871262,224.51828,-25.731485,8.4926
440879416,224.80066,-25.415009,8.9615
61223741,227.52135,-25.842844,9.67939
127896,222.75517,-25.706717,9.9087
61154280,227.36606,-25.856968,8.4057
61154290,227.44643,-25.862843,9.9185
61154330,227.36539,-25.899559,9.261
100161,222.02654,-25.119871,9.1292
82842,221.49962,-24.284737,9.8472
82063,221.50246,-25.444437,6.524
90907,221.7513,-25.464731,8.506
