ID,ra,dec,Tmag
435534587,297.0879,27.909243,8.235
11247868,297.98566,27.924461,9.3049
1862907109,297.98566,27.924461,9.3049
12850385,298.55057,27.974897,9.4355
12084533,298.37576,27.893759,9.993
435551940,297.16852,27.563152,9.374
12084661,298.32123,27.880117,9.24682
11853879,298.25327,27.870064,9.6426
12085132,298.28223,27.833347,9.4119
451844872,296.49667,27.937109,9.7128
435554567,297.09918,27.286507,6.9478
435477982,297.0343,27.652712,9.787
435764594,297.71426,27.91545,9.293
435478476,297.01807,27.702787,7.60399
452253927,296.79416,27.89559,9.9983
435767895,297.61652,27.57566,8.6355
435767755,297.7003,27.590513,9.7089
435552158,297.1765,27.541878,9.8024
11501078,298.01028,27.968657,8.1856
11501342,298.01855,27.942236,9.4018
11501624,298.04962,27.912056,9.8356
452096148,296.68546,27.607847,9.6891
451845635,296.48392,27.854315,9.7201
435475052,297.03378,27.344917,9.9785
435475701,296.9359,27.414854,9.15
435552000,297.13556,27.5574,9.52701
435552276,297.16907,27.527853,9.9797
435476107,296.9784,27.462723,9.838
452023810,296.62497,27.988014,9.9344
435766837,297.69424,27.687748,7.39519
435630688,297.342,27.6092,9.79514
12083830,298.3836,27.966599,9.27
10777186,297.76974,27.71691,7.61916
451844808,296.44296,27.943197,9.3627
451845270,296.45392,27.893286,9.9733
10775385,297.79602,27.888887,9.7949
10778487,297.78894,27.587128,9.49319
287512145,297.2267,27.693367,9.9424
10776495,297.83463,27.780663,9.7393
452022446,296.55304,27.850685,8.8857
287512525,297.24734,27.659204,9.9854
435721542,297.47922,27.698334,9.36904
435722281,297.54224,27.770557,9.4972
435630108,297.35516,27.663122,8.9406
10775357,297.79813,27.891441,9.1106
435763948,297.59705,27.977991,7.3879
435632407,297.39453,27.429857,9.1519
452019029,296.63434,27.508312,9.8008
452020668,296.5567,27.67114,9.9716
287515025,297.32175,27.427174,9.18146
287511722,297.2857,27.731693,6.4108
435533848,297.1601,27.993332,8.2746
435534584,297.08707,27.909407,9.23145
452092165,296.69666,27.998045,8.6143
452253511,296.84567,27.854563,8.87
452022357,296.5448,27.840078,8.9406
452023253,296.5677,27.930689,9.7504
