ID,ra,dec,Tmag
952352003,194.43317,-14.463422,8.0901
2491738,194.43317,-14.463422,8.0901
385352656,196.36382,-15.974778,8.9434
385352680,196.35068,-15.860062,9.23669
385352681,196.42004,-15.851943,8.3388
385352837,196.31688,-15.289057,9.3281
385351391,196.24336,-15.498089,9.5239
385352748,196.32118,-15.598416,9.9563
1758077,197.18248,-15.9769125,9.8383
1757989,197.28664,-15.747057,9.92165
385348190,196.04729,-15.662919,9.29403
385354680,196.5123,-15.706909,9.9933
308149529,197.40251,-15.862184,9.7373
308210738,198.0499,-15.860158,8.1993
1728875,196.90962,-15.828768,9.2786
385355918,196.66516,-15.77195,9.99637
2471579,193.97185,-15.3270235,6.17965
2518500,194.51485,-14.98567,6.17951
26021077,195.32202,-15.793881,7.80993
2518520,194.47717,-15.072623,9.7661
26021074,195.22516,-15.791472,9.50271
25964270,194.94424,-15.105899,6.8732
2471507,193.99521,-14.992213,8.986
25955433,194.6211,-15.8792515,8.9106
25992487,195.07442,-15.250842,8.1339
2473360,194.1406,-14.510256,9.4957
2473230,194.11375,-14.877727,9.4102
2489719,194.25429,-14.787041,9.7065
25995719,195.16936,-15.358546,8.0053
2469727,193.8957,-15.603772,9.6645
25992877,195.01285,-15.944507,8.1975
26022390,195.39302,-15.476353,9.6297
1670274,195.47574,-15.7616415,9.9444
25962430,194.71182,-14.751032,9.7835
2473171,194.20299,-15.109317,7.31862
1736166,197.10938,-15.627999,9.9369
26022247,195.40053,-15.989006,7.4983
26022252,195.43231,-15.954009,9.8678
2472959,194.1861,-15.816079,9.5454
1693252,195.6207,-15.049162,9.81855
385349369,196.18677,-15.960477,9.0492
2454121,193.6873,-15.622814,9.93085
385349417,196.09511,-15.78256,9.06725
1695023,195.7838,-15.450412,9.9754
2473207,194.10756,-14.949698,6.8886
1695149,195.8048,-15.104649,9.8629
1695058,195.73184,-15.361449,9.08502
1695088,195.79536,-15.271244,9.15136
1695131,195.76915,-15.150043,9.79884
25992511,194.96931,-15.290084,8.9846
952049962,196.01152,-17.625563,7.8088
952034535,196.5456,-17.885406,9.4545
952046773,198.5391,-16.55879,8.1506
952046774,198.5395,-16.558725,8.0935
385348719,196.01152,-17.625563,7.8088
347752831,198.5395,-16.558725,8.0935
428714930,196.5456,-17.885406,9.4545
422327572,203.19225,-17.759077,8.4712
1669095,195.55283,-17.481884,8.6263
335657555,199.68907,-17.13369,6.9175
347825164,199.12257,-16.499018,9.7237
347825246,199.15973,-16.764732,8.5755
357493751,200.4719,-17.901707,9.5522
422290160,202.87216,-17.78469,9.541
347825217,199.06598,-16.6684,9.83265
357413438,200.10954,-16.703716,7.74062
347755820,198.55487,-17.768143,9.2841
347756131,198.68777,-17.185764,8.8028
6119182,200.51671,-17.929054,8.33
347809716,198.82059,-17.010216,9.5575
297148378,202.49634,-17.67217,8.9284
347809651,198.89006,-16.697819,9.38992
347809861,198.8364,-17.471369,8.81732
357493952,200.53177,-17.366253,9.5155
404434465,202.16145,-17.542181,9.81581
347755816,198.65808,-17.751793,8.9727
347756338,198.69742,-16.52311,9.37991
347756351,198.72693,-16.464403,9.70058
308148627,197.36264,-17.232805,7.02338
308148778,197.35791,-16.994083,9.9806
1758136,197.22565,-16.153967,9.8851
308149111,197.4266,-16.515196,6.60516
308179434,197.63918,-16.004467,8.41501
335658178,199.90025,-16.553965,9.89651
357446473,200.30844,-17.151978,9.62746
308179230,197.67091,-16.602615,9.1243
335040856,201.43974,-17.798576,9.7884
347752094,198.37312,-16.775608,9.62789
347752231,198.38786,-17.218216,9.85434
335007071,201.02496,-17.131792,8.2951
32086492,202.65831,-17.912922,9.56785
1735019,197.02861,-16.677216,9.56234
347810485,198.94989,-16.275387,8.1012
335637280,199.4987,-17.675554,9.9805
335637406,199.59976,-17.789259,9.9042
335637719,199.6197,-16.539434,9.2381
385352625,196.35347,-16.095314,9.8592
1727727,195.83897,-16.279549,6.8951
385352357,196.3618,-17.004446,6.81688
385351879,196.23247,-17.243332,9.353
385352171,196.36588,-17.72239,9.84688
1727745,195.91254,-16.336575,7.224
385352011,196.2587,-17.678093,7.4898
385352085,196.19661,-17.909239,9.29878
335103979,201.65923,-17.370848,9.594
452735180,195.45447,-17.882454,8.7356
385355415,196.61241,-17.604586,9.06813
415871574,197.65562,-17.897932,8.68277
335697158,199.98679,-17.948565,9.8719
385355452,196.64491,-17.46018,8.8862
1694828,195.79428,-16.055681,9.3444
408555248,195.34352,-17.882053,6.53127
1694542,195.73949,-16.881367,6.29221
1694701,195.78452,-16.407677,9.5702
1694834,195.80548,-16.03616,9.0508
347752605,198.5155,-17.42676,8.98141
357513372,200.75464,-17.735275,4.508
