ID,ra,dec,Tmag
1782181163,282.25876,0.3051248,9.411
1782181169,282.25833,0.3052049,9.1052
1501430048,268.48563,0.59776,7.04596
1501429593,268.42273,0.586545,9.6308
1503023593,269.43408,1.8571393,8.7353
1674399082,270.69083,1.6121923,9.6238
1670776170,273.07568,1.8974421,7.9261
10001320541,286.3096,1.904272,8.938
1670648997,273.3972,1.269749,9.5359
10001320567,287.80423,1.033939,9.516
19226423,273.64023,0.17581297,7.6777
354806387,266.5333,1.451503,8.774
1669701992,277.7439,1.3912916,8.8667
1782177852,281.95377,0.061193638,7.091
383019615,270.69083,1.6121923,9.6238
370366020,277.74356,1.3918608,8.5865
325547695,269.43408,1.8571393,8.7353
324013812,267.05368,1.355068,8.492
324800988,268.48563,0.59776,7.04596
324800968,268.42273,0.586545,9.6308
415522622,277.1769,1.449407,9.6855
171135730,281.3939,1.6995617,9.326
1670152300,273.64056,0.17579085,8.0334
1670152314,273.64023,0.17581297,7.6777
110381613,280.74496,0.583689,9.169
226291071,281.95377,0.061193638,7.091
1671026002,277.1769,1.449407,9.6855
264440751,273.07568,1.8974421,7.9261
264451391,273.3972,1.269749,9.5359
1669701993,277.74356,1.3918608,8.5865
173569077,282.25833,0.3052049,9.1052
172333195,281.79327,1.4651108,9.8859
1785947731,281.3939,1.6995617,9.326
227741637,284.4466,0.509843,8.511
1781299179,285.89096,0.30758676,7.0893
182495553,288.6082,0.887766,8.225
62916034,269.26807,0.066621,5.882
1778770060,288.99777,0.781903,9.7411
177291659,285.89096,0.30758676,7.0893
1785902144,281.79327,1.4651108,9.8859
175231252,288.99777,0.781903,9.7411
174250658,282.48404,0.536624,8.279
171033380,281.30847,0.143779,9.977
179897071,280.30103,2.2157456e-05,9.972
108255110,279.75653,1.1048149,9.659
324096981,267.2808,0.003910061,8.4592
170389914,281.14307,0.162512,8.756
175755608,289.21893,0.34999308,9.1037
171576369,281.56,0.320289,9.911
179885928,280.35434,0.06397419,9.317
266286328,269.07666,0.6703546,5.7634
266285558,269.0918,0.4692415,9.8162
266279766,268.95236,0.9804106,8.9656
266279587,268.88037,1.0308304,7.6968
266286665,269.0741,0.7629854,8.83242
266281693,268.93683,0.4676455,8.64959
266291369,269.0199,1.8419471,9.4398
266291724,269.00214,1.9258999,9.9768
266288324,269.04782,1.1644776,9.62974
266288973,269.00464,1.2952131,8.9072
266289579,269.02737,1.430332,8.83711
167922277,274.84418,1.7430174,9.9381
370370948,277.82645,0.35456944,9.576
18890649,273.02975,1.6571274,6.76851
18890805,272.9409,1.6434519,9.7623
18890839,273.02765,1.6407754,9.1976
169606427,276.17642,1.6323001,9.8332
42691996,273.2412,0.0019170642,9.071
176832410,289.44122,1.5524727,9.991
176830802,289.42682,0.55472904,9.4012
176831739,289.34372,1.3238277,9.763
176830653,289.4055,0.49929103,9.6763
325765398,269.6329,1.8323126,8.8967
114150122,290.58673,1.3728302,8.8964
108781237,289.8832,0.1839175,9.4133
175677399,289.1253,0.3869253,9.462
182867016,289.71707,0.69681895,9.2969
112526464,290.38855,0.72140414,8.8094
112534150,290.52377,0.3979073,9.7281
