ID,ra,dec,Tmag
362217736,285.4508,78.36135,9.81207
362220017,286.02594,78.75313,8.3022
362217907,285.55222,78.770645,9.8361
362222289,286.35184,78.83232,9.82938
288300554,262.28244,78.14048,8.70424
288391895,267.37274,78.42914,8.7601
288382697,266.0749,78.558105,9.599
288405772,267.71945,78.40253,9.94261
288299091,261.17166,78.22002,9.58539
288390206,266.74222,78.48471,9.9958
288343933,263.64883,78.005104,9.5539
288469420,271.11133,78.363335,8.75085
288407511,268.55325,78.71512,9.15296
288391863,267.54214,78.30653,4.95044
288407499,268.5242,78.67963,7.19432
288300641,262.31824,78.38531,9.04391
288315686,263.50018,78.24955,8.82235
288347430,265.14536,78.24246,7.8703
288405918,268.11624,78.825615,8.7969
288405672,267.67285,78.04621,9.71544
264003992,293.3729,78.0592,7.4438
264006142,305.55447,78.045044,8.4992
264006128,305.5786,78.02983,9.7797
288381145,265.44104,78.60925,8.2132
288525537,274.74487,78.38266,8.0757
288525542,274.95233,78.39509,9.355
288312457,262.44873,78.33296,8.8305
288510158,272.36963,78.16814,8.3886
288390174,266.82956,78.391335,7.9488
288523803,274.06482,78.24707,9.9254
288525466,274.75668,78.149666,9.7267
288471077,271.40283,78.156204,9.5273
288391830,267.42914,78.202835,9.0029
288428625,269.29007,78.17558,9.9468
288380973,265.50342,78.09536,9.7463
235900846,289.23224,78.35657,9.4146
288601649,275.95148,79.02364,9.29316
235901104,289.39804,78.934494,9.65318
235902767,290.14975,78.012634,8.9247
235902851,290.178,78.16007,7.20798
235900768,289.63956,78.14075,9.8374
235901003,289.56277,78.720375,9.69857
235900750,289.58972,78.09566,8.8657
350695193,287.09116,78.04681,9.9385
235904874,290.8885,78.08038,9.1319
235902789,290.2049,78.041824,9.55063
350697334,287.4846,78.289925,9.36805
235930029,291.5353,78.603355,9.4272
350697314,287.67807,78.23994,9.8015
235929979,291.87152,78.49986,8.0413
235934115,292.82053,78.433556,9.9917
288599725,275.23315,79.06634,8.6966
235931956,292.52023,78.41735,7.8318
235905057,290.4827,78.47044,7.776
235927660,291.05234,78.14477,7.7066
235902781,289.97556,78.03163,9.4179
288432312,270.17203,78.4458,9.94844
235930066,291.64676,78.66838,9.0513
235929948,291.5758,78.43496,9.63028
394048824,283.0725,78.70307,9.5563
235931917,292.6001,78.298096,9.9098
235932004,292.63614,78.51992,8.0481
235931895,292.3755,78.26551,7.34654
235931897,292.38043,78.26846,7.94178
394030068,282.47787,78.83956,7.58388
