ID,ra,dec,Tmag
1002765071,201.07661,1.3997228,7.6182
325275315,176.93498,0.8045569,8.24327
374268398,159.08157,1.230384,9.775
374268503,159.03801,0.68620026,8.1769
381715947,196.98439,1.3380762,9.1541
953324142,185.10638,0.58356845,8.4745
374200936,158.07336,0.38801023,9.7122
953156674,199.7268,0.5057763,8.5527
953202413,196.98439,1.3380762,9.1541
953156675,199.72667,0.50557506,8.754
35019799,179.82892,0.018328,8.625
377170528,185.10638,0.58356845,8.4745
393641326,199.7268,0.5057763,8.5527
344955311,152.09895,0.609175,6.391
393715853,201.07661,1.3997228,7.6182
344957504,152.30367,1.257918,8.557
277697283,153.42987,0.522214,8.456
841818838,158.07336,0.38801023,9.7122
841819587,159.03801,0.68620026,8.1769
277833306,156.30562,1.000805,8.819
376850415,181.16443,0.759595,8.753
425283213,168.292,0.2388,8.636
277811540,156.01395,0.5123808,9.7274
277811452,156.06927,0.75691473,8.8045
381711711,196.69826,1.5239942,9.41664
381712731,196.90256,1.4744401,7.0075
381712563,196.92519,0.935111,9.349
381711578,196.78706,1.8760817,9.29531
262733086,149.27492,1.7530167,9.2542
262733274,149.20029,1.3511262,9.2954
393726744,201.24902,1.8234247,9.6537
393728254,201.40096,1.9222882,9.4767
281746233,163.18549,1.7431961,8.2048
281746741,163.16507,0.48387665,9.3919
281746865,163.21799,0.15620704,9.07824
281746401,163.19212,1.3401773,8.6656
281746715,163.19913,0.5905944,9.85139
66666726,184.71573,0.010008107,8.8257
281747292,163.27518,1.0228844,9.4363
35019784,179.63733,0.038598377,9.0587
380576522,174.33345,1.9374135,7.7448
374338009,160.64445,0.30698177,9.9579
374337838,160.55975,0.23140731,9.9896
374338222,160.59085,0.8621411,6.5804
381755022,197.64354,1.8854449,9.373
374337706,160.47289,0.55619484,9.0938
281907813,175.40547,1.9235936,9.1232
281908638,175.53214,1.0114728,9.3078
514773484,162.20386,1.4032843,9.7148
376855931,181.47379,1.9873312,9.5626
376852910,181.31937,1.7068831,9.2686
376856149,181.46169,1.305506,8.60162
377297698,187.30289,1.1765715,9.2647
157858275,204.35213,0.028417036,9.0839
397101779,205.18253,1.8850622,6.978
393700811,200.46027,1.3953707,7.9698
374349739,160.73009,0.8760667,8.9749
377170669,185.14182,1.5147794,8.7942
365182876,204.20149,1.8851831,8.0824
411233957,194.50392,0.38957143,9.3081
396951217,172.87308,0.48069134,9.556
365177006,203.86751,0.6274711,8.9748
301589057,168.58392,0.8867375,6.2579
301589059,168.61487,0.8924641,8.1195
381726914,197.253,0.45958197,9.6027
366711388,182.84361,0.28796846,9.4386
366711287,182.71365,0.5321259,9.2676
393632174,199.36497,0.79506826,9.3237
363459466,169.75262,1.2117286,9.8512
350544519,189.97401,1.1456754,9.7557
411238208,194.96126,1.2673281,9.6217
411238273,194.9357,1.6783049,8.97
411277285,196.30849,1.667484,9.1803
411277564,196.40244,0.13726364,9.3774
366711375,182.85583,0.19378899,6.5612
363459391,169.729,1.6503973,5.0152
363459384,169.77611,1.7018114,8.3751
363459794,169.81479,0.72333753,6.47765
411237706,194.79137,1.7321144,9.6583
337733971,179.53647,0.1778151,9.3105
393727837,201.3176,0.8497382,6.38112
365066081,201.94124,0.27997312,9.0759
366786793,198.0459,1.4757276,9.5092
366787348,198.25543,1.6174839,9.295
366787324,198.24689,1.4652447,9.9249
301629281,178.5381,0.9802749,8.9094
412753134,193.71553,1.4378543,8.4273
301676462,178.51999,0.3391052,9.31607
393715337,201.02417,1.2053424,8.1022
376920428,205.58916,0.9970351,5.9833
376924362,205.83382,1.5255358,8.598
366742604,188.44162,0.6704561,9.6499
380766421,193.14194,1.9436488,7.0239
425281404,168.19981,1.5364661,8.0675
425281090,168.02246,0.22134754,8.3117
425281261,168.12787,0.72257507,9.4997
411235759,194.62936,1.1331878,9.4355
411235882,194.58472,0.3245767,8.924
411235977,194.70006,0.3719785,7.423
374312260,160.00691,0.86993176,9.1281
396999357,174.61859,0.51746774,8.9069
301578294,167.48087,0.725444,9.8511
388939968,188.25783,0.54430556,9.4902
374312359,160.06494,0.3446675,9.6791
374312406,160.05896,0.13250299,8.2117
366756574,188.80571,0.2277671,9.6089
365204376,204.71387,1.6119167,9.27926
393715630,201.1707,0.33115283,9.3649
388940040,188.28503,1.0439938,7.36979
374312166,159.99348,1.28791,7.208
366756533,188.6406,0.18880555,9.0293
393727134,201.28206,0.97007483,8.8012
374268988,159.13475,1.9311894,9.7858
397023455,176.28009,0.90945375,7.6114
262734626,149.40767,1.6394923,8.2188
275248808,147.90091,1.650244,9.7346
381715724,196.96773,1.9155357,9.62519
381725192,197.13737,1.1129853,9.5181
381725194,197.13733,1.1147325,9.6262
393713403,200.90578,0.5190103,8.7487
365182768,204.30373,1.3144985,9.5141
381715963,196.96056,1.2963556,9.4823
381725296,197.16344,1.7749374,9.95858
365065973,201.97522,0.81139576,9.62188
350544112,189.86195,1.0329133,9.1195
365158536,203.54662,0.09649332,7.2791
363459334,169.7024,1.9495399,9.39373
363459649,169.76927,0.14681013,9.0482
388932530,188.08401,0.438734,9.57103
376876807,181.91698,1.6022058,8.7416
376876985,182.00246,0.6213033,6.6026
350544477,190.00774,0.89911443,9.44674
