ID,ra,dec,Tmag
212298767,309.65887,-25.665865,8.725
326301523,308.27032,-25.963106,9.914
212349190,310.22458,-25.81091,9.3408
212349318,310.2955,-25.55896,8.5689
212349497,310.2518,-25.219358,9.0227
212256052,308.61862,-25.546394,9.4192
212296912,309.46762,-25.109217,6.0424
269940260,310.9534,-25.782259,9.232
269831848,310.2068,-25.049644,5.7122
302062504,306.7902,-25.327328,9.9186
269831608,310.12186,-24.726332,9.14487
269832033,310.0794,-25.319525,8.1709
269941889,311.18628,-24.670546,9.41904
270068004,311.9006,-25.959986,9.4757
269940350,310.95587,-25.615816,9.44066
269994897,311.5007,-25.10413,7.16993
326215981,307.87494,-25.330523,9.7157
270035081,311.6558,-25.615826,9.9865
270035170,311.6103,-25.457645,9.98597
270035173,311.6601,-25.451796,9.0161
270035271,311.58627,-25.30689,8.2992
269995377,311.50247,-25.85943,8.66
326215729,307.89703,-25.714907,9.979
164447021,305.52377,-25.992939,9.5413
164664450,306.60773,-25.52176,9.4711
164597265,306.46576,-25.745277,9.68539
212256067,308.72617,-25.519047,9.8362
302122865,307.2401,-25.93687,9.9803
302122785,307.18964,-25.829159,8.9698
269881173,310.71948,-24.925882,9.606
164548904,306.15466,-25.833788,5.89177
164548973,306.09567,-25.921215,9.5933
212290084,309.16382,-24.991943,9.5918
212256193,308.63467,-25.30441,9.9837
269941005,310.93497,-24.545439,8.8601
212256396,308.69614,-24.999811,9.1714
269940820,310.994,-24.799686,9.9108
269942463,311.2199,-25.587828,8.5189
212256073,308.6345,-25.51046,9.4974
212256242,308.69852,-25.229177,9.36418
302196967,307.50043,-25.29115,9.3285
302197070,307.44315,-25.4425,8.1259
212355423,310.48874,-25.64631,9.17566
302197339,307.473,-25.785099,8.97933
269940231,310.9647,-25.825144,6.9061
212321081,309.70245,-25.198053,7.37967
326300148,308.2853,-24.990334,7.9772
164517912,305.8247,-25.880299,9.76132
164517717,305.86172,-25.650017,9.54254
326301521,308.27115,-25.963108,9.5969
326301461,308.34616,-25.913342,9.83751
212322705,309.8306,-25.323353,9.5779
212322870,309.8514,-25.632458,9.0465
302119986,307.04105,-25.476076,9.6759
212263339,308.89578,-25.082628,9.4256
164386718,305.27722,-25.73643,9.6853
302119666,307.1466,-25.911707,8.99259
212250653,308.55145,-25.041527,8.6643
212264578,309.0308,-24.762465,9.2538
212250726,308.57278,-25.133965,9.1282
212251021,308.5517,-25.64514,9.0651
326296932,308.20004,-25.024513,9.3884
212355610,310.60577,-25.324879,7.5753
212355784,310.54184,-25.048376,9.986
212257758,308.803,-24.92704,7.8983
212258136,308.79395,-25.480858,7.9949
269995013,311.5239,-25.270897,3.7455
