ID,ra,dec,Tmag
237108118,257.39896,78.203926,9.82432
288300554,262.28244,78.14048,8.70424
288391895,267.37274,78.42914,8.7601
288405772,267.71945,78.40253,9.94261
288299091,261.17166,78.22002,9.58539
288390206,266.74222,78.48471,9.9958
288343933,263.64883,78.005104,9.5539
288469420,271.11133,78.363335,8.75085
237106570,256.9768,78.02436,9.3894
288391863,267.54214,78.30653,4.95044
235717346,255.01874,78.09906,5.7285
288300641,262.31824,78.38531,9.04391
288315686,263.50018,78.24955,8.82235
288347430,265.14536,78.24246,7.8703
288405672,267.67285,78.04621,9.71544
288525537,274.74487,78.38266,8.0757
288525542,274.95233,78.39509,9.355
288312457,262.44873,78.33296,8.8305
288510158,272.36963,78.16814,8.3886
288390174,266.82956,78.391335,7.9488
288523803,274.06482,78.24707,9.9254
288525466,274.75668,78.149666,9.7267
288471077,271.40283,78.156204,9.5273
235712867,253.4438,78.03449,9.24495
288391830,267.42914,78.202835,9.0029
288428625,269.29007,78.17558,9.9468
288380973,265.50342,78.09536,9.7463
288432312,270.17203,78.4458,9.94844
288430429,269.80627,78.24007,6.9557
288345799,264.619,78.38818,9.1274
288603298,276.72653,78.17899,9.7503
288634165,278.77063,78.301445,9.4124
288523792,274.4661,78.207146,9.483
288636169,279.48108,78.28378,9.8985
288609294,277.3893,78.327385,9.05866
288611146,277.58047,78.33364,8.1423
288734747,282.1235,78.12801,7.8647
284800417,260.51773,78.19494,9.9731
288671625,280.93384,78.05609,9.6341
288671788,280.87262,78.21618,9.2348
1718274581,282.8495,76.24316,8.9041
1401093064,266.54312,76.482124,9.52726
1401093065,266.5453,76.4825,9.65109
1551761153,274.9047,76.60405,8.73157
1981686735,305.02005,76.09162,9.43564
229610005,274.9047,76.60405,8.73157
366582272,305.02005,76.09162,9.43564
160440706,236.99544,76.28301,9.018
235673181,282.8495,76.24316,8.9041
424388519,281.24634,76.352684,8.626
237215002,294.97946,76.38922,9.397
441810072,266.54312,76.482124,9.52726
237238197,298.2064,76.42069,9.066
237233495,297.82,76.209785,9.335
229642234,279.34958,77.68679,6.576
441810984,266.92676,76.04188,9.506
420265049,305.6969,76.04339,6.3802
237305890,302.5784,76.331955,9.5931
237305802,302.64117,76.15152,9.45255
333706315,303.4313,76.39303,8.7178
366563004,304.41843,76.15686,9.2806
237282717,300.1661,76.240326,9.6026
237307292,303.04474,76.01308,9.7839
366582238,305.18045,76.014,8.9676
237282501,300.08716,76.68519,8.8172
366517625,304.0196,76.251114,8.434
237301289,302.3541,76.03807,8.4839
237282609,299.90262,76.48139,4.39869
237281466,299.56046,76.7591,9.8736
237281342,299.77933,76.50691,9.1677
237281180,299.5999,76.20933,9.9001
237257602,299.0369,76.45018,6.1499
364074733,306.2222,76.039536,9.6446
237257484,299.03937,76.683464,7.8047
237256280,298.81406,76.31028,9.7265
366564548,304.68607,76.23946,9.22332
237289001,300.75177,76.5121,9.1865
237293879,301.231,76.380196,9.8517
1884530530,299.78058,76.50707,9.5431
237301107,302.4817,76.42877,9.9753
237301200,302.4165,76.24497,7.44818
237233567,297.503,76.074005,6.269
237289187,300.85727,76.05203,9.4324
237233364,297.5538,76.52529,9.113
237232044,297.40027,76.139084,9.9377
237239349,298.41708,76.5017,9.0069
237239341,298.25858,76.52865,9.8946
237227290,296.9793,76.99932,9.6267
237227676,296.78336,76.06808,9.4577
237220527,295.75647,76.30407,9.4864
237220585,295.5059,76.447266,8.5429
237220784,295.7398,76.917984,9.78148
237215078,294.80942,76.56082,7.8937
237232016,297.3822,76.04889,9.2662
237238340,297.8633,76.72093,8.7118
237221685,296.01752,76.64819,7.7076
237226244,296.67532,76.238235,8.2817
237238199,298.2076,76.42189,9.8552
237238032,297.97736,76.03272,9.7713
237216141,295.37518,76.56998,6.782
237216093,295.38782,76.6978,8.5329
237204273,293.51074,76.70606,8.0953
237215017,294.77652,76.42202,7.2404
237215176,295.06894,76.82716,9.2774
237215216,294.99506,76.90579,9.4781
237215051,294.8289,76.50242,9.8164
237209569,294.1518,76.4651,9.1255
237215095,294.7588,76.589645,9.8901
237214855,295.08173,76.03815,9.9332
237232372,297.3589,76.99558,8.1773
237221821,296.2056,76.32427,8.3341
237215245,294.87518,77.00966,8.4031
237215284,294.77628,77.101944,9.1814
