ID,ra,dec,Tmag
417121913,200.62971,29.931984,8.5811
376652763,198.51073,31.924603,9.038
105615059,199.54973,31.630302,7.55033
376653078,198.55112,31.067863,9.4993
166008493,197.18468,31.920164,8.4498
166007269,196.98062,31.748726,9.5218
166051169,197.80283,30.82693,8.9313
166008967,197.34772,31.097948,8.9884
166008610,197.16226,31.22244,9.824
330802800,200.56284,30.291937,5.6036
417121783,200.71657,30.947052,9.68151
321423302,201.10983,30.553953,9.583
14449768,199.04988,30.894142,7.5877
330800924,200.41124,30.522083,8.47557
321416143,200.90878,30.455307,9.9979
105619236,200.11198,31.308683,9.3615
105619132,200.16508,30.741886,9.758
14456864,199.13553,31.533052,8.6904
14457290,199.27225,31.076477,9.20466
43134657,201.3051,31.990046,9.3911
43134269,201.24994,30.730825,8.9547
105616977,199.83774,30.39059,9.4738
105617182,199.83388,31.480757,9.5848
105617257,199.86003,31.93079,9.589
376645938,198.33427,31.835703,9.83323
376646555,198.36964,31.671913,8.73669
330867302,200.74942,31.679253,9.01387
376645976,198.29909,31.638538,9.80675
43135807,201.48265,31.861286,7.74853
165987649,196.24507,31.723915,9.9365
330867484,200.86327,30.539143,8.5841
330802655,200.48796,31.060045,9.072
71611811,202.15413,31.965567,9.72038
43135792,201.54518,31.971132,9.9736
166010285,197.46675,31.366747,9.09946
105579901,199.33939,30.612644,8.2124
166010220,197.47057,31.861816,9.979
71610362,202.04245,31.737381,9.7164
1000748924,203.64456,33.135624,8.54299
1000748926,203.64491,33.136326,9.46171
950075234,198.00824,32.08592,7.1775
950075235,198.00854,32.085266,6.9085
321440169,203.64456,33.135624,8.54299
166067106,198.00854,32.085266,6.9085
43136516,201.64648,32.584385,9.278
376652084,198.60573,33.714024,9.8292
376652556,198.53784,32.417686,9.73749
376654554,198.72328,32.745453,9.9315
76509582,317.47678,33.92219,8.2744
71611489,202.14972,33.66727,7.1753
376663652,198.77322,33.61746,8.6393
43133167,200.2696,33.352695,9.1721
376646735,198.43591,32.530453,5.9665
166051369,197.90392,32.459908,9.7434
166051543,197.8669,33.780766,9.971
330866967,200.75496,33.90552,9.7009
166051346,197.87149,32.29379,8.0052
166052165,198.00868,33.74128,8.8534
165988854,196.27164,32.025967,7.1587
71595072,201.93594,33.62653,8.234
